found_date,metro,title,company,location,posted,source,flags,url
2026-09-17,Boston,Senior EMC/EMI Compliance Engineer TERADYNE,Teradyne,"North Reading, MA",2026-09-16,JSearch/Jobilize,,https://www.jobilize.com/amp/job/us-ma-north-reading-senior-emc-emi-compliance-engineer-teradyne-hiring
2026-09-17,Boston,Senior EMI/EMC Engineer for High-Performance Sensor Systems,Raytheon,"Marlborough, MA",2026-09-07,JSearch/JobLeads,⚠️ 클리어런스/시민권,https://www.jobleads.com/us/job/senior-emi-emc-engineer-for-high-performance-sensor-systems--marlborough--e2f0cded242321a6aac6f83c058a3cefb
2026-09-17,Boston,Senior EMC Test Engineer,Teradyne,"North Reading, MA",2026-09-01,JSearch/Trabajo.org,,https://us.trabajo.org/job-5003-91634f364e1222be005f727f519a8c65
2026-09-17,Boston,EMI Test Engineer,RTX,"Marlborough, MA",2026-09-07,JSearch/RTX Careers,⚠️ 클리어런스/시민권,https://careers.rtx.com/ca/fr/job/01871931/EMI-Test-Engineer
2026-09-17,Boston,"EMC Design and Test Engineer North Reading, MA",Teradyne,"Reading, MA",2026-09-12,JSearch/Learn4Good,,https://www.learn4good.com/jobs/reading/massachusetts/engineering/5307470852/e/
2026-09-17,Boston,"Staff MMIC Design Engineer - SoI RF, Onsite Boston",LintrinsIC Semiconductors Inc.,"Boston, MA",2026-09-07,JSearch/BeBee,⚠️ 클리어런스/시민권,https://bebee.com/us/jobs/staff-mmic-design-engineer-soi-rf-onsite-boston-lintrinsic-semiconductors-inc-boston--pureheal-28528_25199_27a55b5539f7930af82d8025d32a7612
2026-09-17,Boston,Senior RF Electrical Engineer,Axcelis Technologies,"Beverly, MA",2026-09-14,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/senior-rf-electrical-engineer-at-axcelis-technologies-4467262291
2026-09-17,Boston,Senior Staff Design Engineer – Analog/Mixed-Signal/RF,MediaTek,"Woburn, MA",2026-09-16,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/senior-staff-design-engineer-%E2%80%93-analog-mixed-signal-rf-at-mediatek-4430373274
2026-09-17,Boston,"Electrical Engineer, Analog + RF",X-Sight Incorporated,"Boston, MA",2026-08-21,JSearch/Indeed,,https://www.indeed.com/viewjob?jk=1f804be7b6e6731e
2026-09-17,Boston,RF/Microwave Design Engineer,Acro Service Corp,"Lexington, MA",2026-08-19,JSearch/IHireEngineering,,https://www.ihireengineering.com/jobs/view/533686782
2026-09-17,Boston,Senior Principal AE-RF Design Engineer,Cadence,"Burlington, MA",2026-08-25,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/senior-principal-ae-rf-design-engineer-at-cadence-4448818125
2026-09-17,Boston,RF Engineer,MIT Lincoln Laboratory,"Lexington, MA",2026-08-22,JSearch/Jobs At MIT Lincoln Laboratory - MIT,⚠️ 클리어런스/시민권,https://careers.ll.mit.edu/job/Lexington-RF-Engineer-MA-02420/1386364700/
2026-09-17,Washington DC,Electromagnetic Compatibility (EMC) Engineer III,Blue Origin,"Reston, VA",2026-09-15,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/electromagnetic-compatibility-emc-engineer-iii-at-blue-origin-4446259338
2026-09-17,Washington DC,RF & Spectrum Engineer for NAS/C-UAS Analysis,Leidos Inc,"Washington, DC",2026-09-03,JSearch/JobLeads,,https://www.jobleads.com/us/job/rf-spectrum-engineer-for-nas-c-uas-analysis--washington--e6e28ea23946cf81a3a2d2aacc79bb097
2026-09-17,Washington DC,Radio Frequency Systems Engineer,LEIDOS,"Washington, DC",2026-09-09,JSearch/SaluteMyJob,,https://salutemyjob.com/jobs/radio-frequency-systems-engineer-washington-washington-dc/2963640150-2/
2026-09-17,Washington DC,Spectrum Engineer/Radio Frequency,Leidos,"Washington, DC",2026-09-08,JSearch/BeBee,,https://bebee.com/us/jobs/spectrum-engineer-radio-frequency-leidos-washington-dc--jooble-5694396599085643122
2026-09-17,Washington DC,"Senior RF Geolocation Engineer, Spectrum Sensing Team",CHAOS Industries,"Washington, DC",2026-09-04,JSearch/Simplify,⚠️ 클리어런스/시민권,https://simplify.jobs/p/576aeab9-846e-49cd-a71c-a1c41c6f3167/Senior-Radio-Frequency-Geolocation-Engineer
2026-09-17,Washington DC,"Enterprise - Senior RF Software Engineer - DSP, Linux, C++",Erias Ventures,"Annapolis Junction, MD",2026-09-14,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/enterprise-senior-rf-software-engineer-dsp-linux-c%2B%2B-at-erias-ventures-4467256398
2026-09-17,Washington DC,RF Systems Program Manager,Lynk,"Washington, DC",2026-08-20,JSearch/Trabajo.org,,https://us.trabajo.org/job-28652-59e584dd6c839ec6f00a587d2434fe4b
2026-09-17,Washington DC,Junior PCB Drafter – RF & Power Boards,CACI,"Washington, DC",2026-08-20,JSearch/Hire.run,⚠️ 클리어런스/시민권,https://hire.run/jobs/caci-junior-pcb-drafter-rf-power-boards-washington-dc-1ktt
2026-09-17,Washington DC,Radio Frequency Engineer Sr Stf - E5,Lockheed Martin,"Severn, MD",2026-09-05,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/radio-frequency-engineer-sr-stf-e5-at-lockheed-martin-4461481067
2026-09-17,Washington DC,Principal RF Communications Systems Engineer,SES Space & Defense,"Reston, VA",2026-09-02,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/principal-rf-communications-systems-engineer-at-ses-space-defense-4428895480
2026-09-17,Washington DC,"Space Payload RF Engineer, Lead",Booz Allen Hamilton,"Chantilly, VA",2026-08-28,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/space-payload-rf-engineer-lead-at-booz-allen-hamilton-4460516359
2026-09-17,SF Bay Area,RF Operations Engineer 1 (Career Fair Only),MARKI MICROWAVE LLC,"Morgan Hill, Santa Clara County, California",2026-09-16,Adzuna,,https://www.adzuna.com/land/ad/5886741581?se=rog5Q3my8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=ABEAA329AB3DD2DE560A47E5900543AF92B8A13E
2026-09-17,Washington DC,Radio Frequency Engineer Sr Stf - E5,Lockheed Martin,"Severn, Anne Arundel County, Maryland",2026-09-06,Adzuna,,https://www.adzuna.com/land/ad/5872971795?se=gLEaYnmy8RGpav-j42JvOw&utm_medium=api&utm_source=d677d981&v=E565983CD0AB9732722615F80F6CB8809A29E683
2026-09-17,Boston,Principal RF Module Design/Development Engineer,RTX (Raytheon),"Andover, Essex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5886917052?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=A06F7161E1BA13A620AAFB9EF47BE31F82F1CFC5
2026-09-17,Boston,Senior RF Module Design/Development Engineer,RTX (Raytheon),"Andover, Essex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5886738437?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=A4D506E8AC58F7DF1960D3C198CD486F2BE9FAC8
2026-09-17,Boston,EMI Test Engineer with Security Clearance,RTX (Raytheon),"Marlborough, Middlesex County, Massachusetts",2026-09-03,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5868370210?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=A64024302F37FFF5436E442260675EF98B11C284
2026-09-17,Boston,Radar Maintainer- Taiwan,RTX (Raytheon),"Woburn, Middlesex County, Massachusetts",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884925459?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=FB453EC8C78944D9020054C71BF5D9858F99109E
2026-09-17,Boston,Senior RF Module Design/Development Engineer with Security Clearance,RTX (Raytheon),"Andover, Essex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5886628113?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=66934C82C20466E6E39929D46BD00AC2677566A2
2026-09-17,Boston,Principal RF Module Design/Development Engineer with Security Clearance,RTX (Raytheon),"Andover, Essex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5886631381?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=7898B1BB311E1F273FEABEC6F306D838156C488D
2026-09-17,Boston,RF/Microwave Electrical Engineer II - Onsite with Security Clearance,RTX (Raytheon),"Andover, Essex County, Massachusetts",2026-09-08,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5876604103?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=3E1E8F76F8452D70EDEF1FB7B671132326630550
2026-09-17,Boston,RF/Microwave Electrical Engineer I -Onsite with Security Clearance,RTX (Raytheon),"Andover, Essex County, Massachusetts",2026-09-08,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5876609815?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=3D828236D50B7945E57CF0724DE1EBEAAA2BDACB
2026-09-17,Boston,Radar Systems Engineer I,RTX (Raytheon),"Marlborough, Middlesex County, Massachusetts",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884759205?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=9C69DD6612F21291689633152B2206A308B92E34
2026-09-17,Boston,Radar Systems Engineer I- Onsite,RTX (Raytheon),"Tewksbury, Middlesex County, Massachusetts",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884925186?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=171341202DD38EBB392CE920E9F4CECA3B5C0A5A
2026-09-17,Boston,Radar Systems Engineer II- Onsite,RTX (Raytheon),"Marlborough, Middlesex County, Massachusetts",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884926273?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=7E413CF1056E69221935DC90067319A97507AF16
2026-09-17,Boston,Radar System Engineer II- Onsite,RTX (Raytheon),"Tewksbury, Middlesex County, Massachusetts",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884895392?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=F65E98B2E24E93CC25EF6AED31CDD0FF17EF9DE0
2026-09-17,Boston,Senior Principal Radar Receiver Exciter Hardware Lead,RTX (Raytheon),"Tewksbury, Middlesex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5886896586?se=EvpgZHmy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=8837E479E027025D091100E3525982EB3564C647
2026-09-17,Washington DC,Engineer/Principal Engineer RF Microwave Design - Subsystems I&T,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-03,Adzuna,,https://www.adzuna.com/land/ad/5868788074?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=69BD5DEC0BDCDAB4F0B44A5E615C39D5CFDB6113
2026-09-17,Washington DC,Principal/Sr. Principal Engineer RF Microwave Design - Subsystems I&T,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-03,Adzuna,,https://www.adzuna.com/land/ad/5868788065?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=CD8739FDD2944286AC7E09ED5A6BE37E616EEB48
2026-09-17,Washington DC,Principal/Sr. Principal RF Microwave Design Engineer - Subsystems I&T,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-03,Adzuna,,https://www.adzuna.com/land/ad/5868788081?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=5A4D3A33C3E74A3C53E35F7234C30D065AAE7686
2026-09-17,Washington DC,Principal/Sr. Sr. Principal RF Microwave Design Engineer - Subsystems I&T,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-03,Adzuna,,https://www.adzuna.com/land/ad/5868788080?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=67D1BFC570F26FA1296BC49D4A910565DC0A380B
2026-09-17,Washington DC,Space RADAR Payload I&T Technical Advisor - Staff Engineer Syste with Security Clearance,Northrop Grumman,"Baltimore, Baltimore County, Maryland",2026-09-05,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5872291273?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=7650C92512EDE433D3C9B5775B5BFA2ACC0CBBCF
2026-09-17,Washington DC,Antenna Test Engineer 2nd Shift with Security Clearance,Northrop Grumman,"Baltimore, Baltimore County, Maryland",2026-09-13,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5882882493?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=EDEE156D4F86996638E157FE8BBF2FE488951FC6
2026-09-17,Washington DC,RF Systems Engineer systems [ TS SCI ] with Security Clearance,Northrop Grumman,"Stafford, Stafford County, Virginia",2026-09-03,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5869560579?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=5B9402ADA07CF009750451690FC228E726F1E6D4
2026-09-17,Washington DC,Antenna Test Engineer 2nd Shift,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-15,Adzuna,,https://www.adzuna.com/land/ad/5884544570?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=0488D5641AF8397D813D4B22215F90E49C76107D
2026-09-17,Washington DC,Principal Engineer/Sr. Principal Engineer Digital-RF Subsystems with Security Clearance,Northrop Grumman,"Baltimore, Baltimore County, Maryland",2026-09-06,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5873279001?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=6A5EFEC3536EFBF59BD6F94617FC068BE7BF4635
2026-09-17,Washington DC,Engineer/Principal Engineer Digital-RF Subsystems I&T with Security Clearance,Northrop Grumman,"Baltimore, Baltimore County, Maryland",2026-09-06,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5873279893?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=57A8CA0FE47EDE412CAE523E15F00E5322475F77
2026-09-17,Washington DC,Engineer/Principal Engineer Digital-RF Subsystems I&T,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-08,Adzuna,,https://www.adzuna.com/land/ad/5875495286?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=AD5031F32A787728A25DFDD45837942276FADD4B
2026-09-17,Washington DC,Principal Engineer/Sr. Principal Engineer Digital-RF Subsystems I&T Lead,Northrop Grumman,"Druid, Baltimore, Maryland",2026-09-08,Adzuna,,https://www.adzuna.com/land/ad/5875495288?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=D6103993C7A522778B36168B3F7357188A05E772
2026-09-17,Washington DC,RF Systems Engineer systems [ TS SCI ],Northrop Grumman,"Stafford, Stafford County, Virginia",2026-09-03,Adzuna,,https://www.adzuna.com/land/ad/5868429444?se=GjKmZnmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=7FBBFE54128A742D2D8E6D0E3E420AB6BBFDF9C2
2026-09-17,Boston,RF System Architect,BAE Systems,"Hudson, Hillsborough County, New Hampshire",2026-09-11,Adzuna,,https://www.adzuna.com/land/ad/5879883626?se=NCnJbnmy8RGpav-j42JvOw&utm_medium=api&utm_source=d677d981&v=310DF68C464BC72CB5FEACB48D9951F2B22794B4
2026-09-17,Boston,RF System Architect with Security Clearance,BAE Systems,"Hudson, Hillsborough County, New Hampshire",2026-09-09,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5876721883?se=NCnJbnmy8RGpav-j42JvOw&utm_medium=api&utm_source=d677d981&v=B03979C51A6F31AA78570BFAE4BD8A32AC78F33E
2026-09-17,Washington DC,Senior Radio Frequency (RF)/Microwave Test Engineer,BAE Systems,"Manassas, Prince William County, Virginia",2026-09-07,Adzuna,,https://www.adzuna.com/details/5874062928?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Spectrum Radio Frequency Engineer,Leidos,"Washington, Washington, D.C.",2026-09-15,Adzuna,,https://www.adzuna.com/land/ad/5884801887?se=COxSinmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=4A5DCA827D6913EE953A06047067B915602F1AAC
2026-09-17,Washington DC,Radar Optimization Engineer with Security Clearance,Leidos,"Herndon, Fairfax County, Virginia",2026-09-14,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884282376?se=COxSinmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=5E96B0F84776366F63F38E3DB5BA6ED4BD51F751
2026-09-17,Washington DC,Radio Frequency Engineer/Spectrum Engineer (C-UAS) with Security Clearance,Leidos,"Crystal, Arlington County, Virginia",2026-09-04,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5870550793?se=COxSinmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=D720632E7623E497A15058A87D05CEB357DFB30C
2026-09-17,Washington DC,C-UAS RF Engineer with Security Clearance,Leidos,"Trade, Alexandria City, Virginia",2026-09-10,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5877950680?se=COxSinmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=A15F9EC1F657DA12C307719EBC61DEF37AB8D0B7
2026-09-17,Washington DC,Spectrum Radio Frequency Engineer with Security Clearance,Leidos,"Crystal, Arlington County, Virginia",2026-09-14,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884290402?se=COxSinmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=AACE3F8E00F8AFCA6BBAB078CFF0102CA5D2E4F2
2026-09-17,Washington DC,Radio Frequency Engineer/Spectrum Engineer (C-UAS),Leidos,"Washington, D.C., US",2026-09-05,Adzuna,,https://www.adzuna.com/land/ad/5871816084?se=COxSinmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=683C805175B6B60A9596A686A5E1B48B9369D703
2026-09-17,Washington DC,C-UAS RF Engineer,Leidos,"Jefferson Manor, Fairfax County, Virginia",2026-09-11,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/details/5879639001?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Radio Frequency/Spectrum Engineer (Military/Tactical/Link-16),Leidos,"Reston, Fairfax County, Virginia",2026-09-06,Adzuna,,https://www.adzuna.com/details/5872996809?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Radar Analyst,SAIC,"Chantilly, Fairfax County, Virginia",2026-09-03,Adzuna,,https://www.adzuna.com/details/5868907773?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,RF Modeling/Simulation Analyst,SAIC,"Chantilly, Fairfax County, Virginia",2026-09-03,Adzuna,,https://www.adzuna.com/details/5868250834?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Electromagnetic Spectrum Analyst,Booz Allen Hamilton,"Arlington, Arlington County, Virginia",2026-09-16,Adzuna,,https://www.adzuna.com/details/5886469792?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Wireless Network Engineer,Booz Allen Hamilton,"Aberdeen, Harford County, Maryland",2026-09-16,Adzuna,,https://www.adzuna.com/details/5886463469?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,RF Engineering SME with Security Clearance,Peraton,"Chantilly, Fairfax County, Virginia",2026-09-11,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5879370873?se=0AXBmXmy8RGDf8oZs_LVjg&utm_medium=api&utm_source=d677d981&v=030A0D034139C59BF20CFC2A0F96B6D518371806
2026-09-17,Washington DC,Senior Electromagnetic Pulse (EMP) Engineer - Sign-on Bonus Elig with Security Clearance,Amentum,"Dahlgren, King George County, Virginia",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884997938?se=Dv1pnXmy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=D4DF2942AE263EDF309B91C68BA0F9CCC89E9DB0
2026-09-17,Washington DC,Junior RF Analyst,KBR,"Springfield, Fairfax County, Virginia",2026-09-16,Adzuna,,https://www.adzuna.com/details/5886447328?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Radar Payload Systems Engineer with Security Clearance,KBR,"Chantilly, Fairfax County, Virginia",2026-09-03,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5869638759?se=sJrYo3my8RGYM8Jm6MC_gA&utm_medium=api&utm_source=d677d981&v=D79237FA892510DDF6E9B2FB5F69C32B9323561D
2026-09-17,Washington DC,RF Engineer with Security Clearance,KBR,"Dulles Town Center, Loudoun County, Virginia",2026-09-11,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5879364169?se=sJrYo3my8RGYM8Jm6MC_gA&utm_medium=api&utm_source=d677d981&v=31A4AAE6E36563577F49A41BB883F63CC1CAC576
2026-09-17,Washington DC,RF Engineer,KBR,"Dulles Town Center, Loudoun County, Virginia",2026-09-12,Adzuna,,https://www.adzuna.com/details/5880929738?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Radar Research Engineer with Security Clearance,KBR,"Chantilly, Fairfax County, Virginia",2026-09-13,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5882904897?se=sJrYo3my8RGYM8Jm6MC_gA&utm_medium=api&utm_source=d677d981&v=D76ECCA1484A9BC6A965A3A643B6252CE45ED5A1
2026-09-17,Washington DC,Radar Research Engineer,KBR,"Chantilly, Fairfax County, Virginia",2026-09-13,Adzuna,,https://www.adzuna.com/details/5882481357?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Part-time Senior Technical Professional – Weather Radar,KBR,"Silver Spring, Montgomery County, Maryland",2026-09-10,Adzuna,,https://www.adzuna.com/details/5878368387?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,RF Payload Analyst - Engineering Specialist with Security Clearance,The Aerospace Corporation,"Chantilly, Fairfax County, Virginia",2026-09-12,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5881325530?se=sgQhDXqy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=593C0A0D6F8FACE7DDDFD9EE47CE4DEB5A1C7C69
2026-09-17,Washington DC,RF Payload Analyst - Engineering Specialist,The Aerospace Corporation,"Chantilly, Fairfax County, Virginia",2026-09-13,Adzuna,,https://www.adzuna.com/details/5882477297?utm_medium=api&utm_source=d677d981
2026-09-17,SF Bay Area,Manufacturing Quality Engineer (MQE) - RF Antenna,Apple,"Sunnyvale, Santa Clara County, California",2026-09-10,Adzuna,,https://www.adzuna.com/details/5878366569?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Cellular RF Transmitter Systems Engineer,Apple,"South Waltham, Middlesex County, Massachusetts",2026-09-05,Adzuna,,https://www.adzuna.com/details/5871676339?utm_medium=api&utm_source=d677d981
2026-09-17,SF Bay Area,Wireless Systems Engineer,Apple,"Monte Vista, Santa Clara County, California",2026-09-10,Adzuna,,https://www.adzuna.com/details/5877989050?utm_medium=api&utm_source=d677d981
2026-09-17,SF Bay Area,Wireless RF Systems Validation Engineer (Connectivity),Apple,"Monte Vista, Santa Clara County, California",2026-09-10,Adzuna,,https://www.adzuna.com/details/5878071334?utm_medium=api&utm_source=d677d981
2026-09-17,SF Bay Area,Wireless System Validation Engineer,Apple,"Monte Vista, Santa Clara County, California",2026-09-04,Adzuna,,https://www.adzuna.com/details/5870322649?utm_medium=api&utm_source=d677d981
2026-09-17,SF Bay Area,Cellular Modem RF Software Engineering Program Manager,Apple,"Monte Vista, Santa Clara County, California",2026-09-04,Adzuna,,https://www.adzuna.com/details/5870227484?utm_medium=api&utm_source=d677d981
2026-09-17,SF Bay Area,Signal Integrity Architect,Qualcomm,"Santa Clara, Santa Clara County, California",2026-09-16,Adzuna,,https://www.adzuna.com/details/5886449185?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Senior RF Module Design/Development Engineer,RTX (Raytheon),US-MA-ANDOVER-AR1 ~ 358 Lowell St ~ AR1 DUKES BLDG,2026-09-15,회사/workday,,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MA-ANDOVER-AR1--358-Lowell-St--AR1-DUKES-BLDG/Senior-RF-Module-Design-Development-Engineer_01875491
2026-09-17,Boston,Principal RF Module  Design/Development Engineer,RTX (Raytheon),US-MA-ANDOVER-AR1 ~ 358 Lowell St ~ AR1 DUKES BLDG,2026-09-15,회사/workday,,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MA-ANDOVER-AR1--358-Lowell-St--AR1-DUKES-BLDG/Principal-RF-Module--Design-Development-Engineer_01875494-1
2026-09-17,Boston,Senior Principal Radar Receiver Exciter Hardware Lead,RTX (Raytheon),US-MA-TEWKSBURY-TB1 ~ 50 Apple Hill Dr ~ ASSABET BLDG / US-MA-MARLBOROUGH-MA2 ~ 1001 Boston Post Rd ~ BLDG 2,2026-09-15,회사/workday,,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MA-TEWKSBURY-TB1--50-Apple-Hill-Dr--ASSABET-BLDG/Senior-Principal-Radar-Receiver-Exciter-Hardware-Lead_01872702
2026-09-17,Boston,Antenna and Microwave Engineer II - Onsite,RTX (Raytheon),US-MA-TEWKSBURY-TB1 ~ 50 Apple Hill Dr ~ ASSABET BLDG,2026-09-09,회사/workday,,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MA-TEWKSBURY-TB1--50-Apple-Hill-Dr--ASSABET-BLDG/Antenna-and-Microwave-Engineer-II---Onsite_01873345
2026-09-17,Boston,Antenna and Microwave Engineer I - Onsite,RTX (Raytheon),US-MA-TEWKSBURY-TB1 ~ 50 Apple Hill Dr ~ ASSABET BLDG,2026-09-09,회사/workday,,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MA-TEWKSBURY-TB1--50-Apple-Hill-Dr--ASSABET-BLDG/Antenna-and-Microwave-Engineer-I---Onsite_01873343
2026-09-17,Boston,RF/Microwave Electrical Engineer II - Onsite,RTX (Raytheon),US-MA-ANDOVER-AR1 ~ 358 Lowell St ~ AR1 DUKES BLDG,2026-09-08,회사/workday,,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MA-ANDOVER-AR1--358-Lowell-St--AR1-DUKES-BLDG/RF-Microwave-Electrical-Engineer-II---Onsite_01872845
